object,verts,edges,polygons,boundary_edges,nonmanifold_edges,wire_edges,loose_verts,degenerate_faces,min_face_area,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,extent_x,extent_y,extent_z,problem_score
SABVR,56,108,54,0,0,0,0,0,0.00011278728925390169,-0.08994898200035095,-3.367957353591919,0.2255537211894989,-0.0722389966249466,-2.4338040351867676,0.5389236807823181,0.017709985375404358,0.9341533184051514,0.3133699595928192,0
SABVL,56,108,54,0,0,0,0,0,0.00011278743477305397,0.02429281920194626,-3.367957353591919,0.22555367648601532,0.042002804577350616,-2.4338037967681885,0.5389236807823181,0.017709985375404358,0.9341535568237305,0.3133699893951416,0
AIML,64,124,62,0,0,0,0,0,0.00017835013568401337,-0.01891346275806427,-2.7696168422698975,0.2737552523612976,0.10061174631118774,-2.502108335494995,0.5339720845222473,0.11952520906925201,0.26750850677490234,0.2602168321609497,0
AIYL,60,116,58,0,0,0,0,0,0.0001783485058695078,-0.01891344040632248,-2.769178628921509,0.2803138792514801,0.08265136182308197,-2.4931352138519287,0.5339721441268921,0.10156480222940445,0.2760434150695801,0.253658264875412,0
SIADL,208,412,207,0,4,0,0,0,0.0001429492112947628,-0.24569037556648254,-2.795137405395508,-0.5299006700515747,0.04984554275870323,3.977672576904297,0.6262248754501343,0.2955359220504761,6.772809982299805,1.156125545501709,4
AIAL,60,116,58,0,0,0,0,0,0.00017835036851465702,-0.018913455307483673,-2.7868051528930664,0.31807059049606323,0.04931662231683731,-2.616706609725952,0.5565731525421143,0.06823007762432098,0.17009854316711426,0.23850256204605103,0
SIAVL,204,404,202,0,0,0,0,0,8.584250463172793e-05,0.018125832080841064,-2.803570508956909,-0.9243614673614502,0.23537006974220276,3.9718105792999268,0.45657095313072205,0.2172442376613617,6.775381088256836,1.3809324502944946,0
SIBVL,268,532,267,0,4,0,0,0,5.4914780776016414e-05,-0.2493109107017517,-2.819420099258423,-0.9243617057800293,0.04931661859154701,3.9766151905059814,0.5355732440948486,0.2986275255680084,6.796035289764404,1.459934949874878,4
RIH,128,252,126,0,0,0,0,0,8.862451795721427e-05,-0.09148448705673218,-2.765714406967163,0.33759191632270813,0.04931662231683731,-2.6472349166870117,0.5327364802360535,0.1408011019229889,0.11847949028015137,0.19514456391334534,0
VA11,48,92,46,0,0,0,0,0,7.310242381208809e-06,-0.028386315330863,2.5352606773376465,-0.3165220320224762,-0.002749156206846237,3.5067780017852783,-0.13243262469768524,0.025637159124016762,0.9715173244476318,0.18408940732479095,0
HSNR,188,372,186,0,0,0,0,0,4.207254733046284e-06,-0.22827734053134918,-2.7959060668945312,-1.3766788244247437,0.049790382385253906,0.7511155009269714,1.7021801471710205,0.2780677080154419,3.5470216274261475,3.0788588523864746,0
DD6,160,316,158,0,0,0,0,0,4.7462081056437455e-06,-0.2034696638584137,2.4229485988616943,-0.7965207099914551,0.01356339082121849,4.040597438812256,0.8158817291259766,0.21703305840492249,1.6176488399505615,1.6124024391174316,0
DD4,200,396,198,0,0,0,0,0,7.225887202366721e-06,-0.27470430731773376,-0.2632259726524353,-1.0215595960617065,0.01954742521047592,1.9555392265319824,1.150259017944336,0.2942517399787903,2.2187652587890625,2.171818733215332,0
DD3,160,316,158,0,0,0,0,0,5.543421593756648e-06,-0.25093984603881836,-1.4491064548492432,-1.217988133430481,0.020451106131076813,0.19309164583683014,0.4127653241157532,0.2713909447193146,1.642198085784912,1.630753517150879,0
DD5,148,292,146,0,0,0,0,0,4.570575583784375e-06,-0.257210910320282,1.4599010944366455,-0.5532093644142151,0.016409236937761307,2.88698410987854,0.7654582262039185,0.2736201584339142,1.4270830154418945,1.3186676502227783,0
DD2,128,252,126,0,0,0,0,0,4.6228642531787045e-06,-0.2522958517074585,-2.0096704959869385,-0.5656409859657288,0.01298024132847786,-1.152686357498169,0.209007129073143,0.26527610421180725,0.8569841384887695,0.774648129940033,0
DB7,132,260,130,0,0,0,0,0,7.644352081115358e-06,-0.23119741678237915,2.565626382827759,-0.40648671984672546,0.010076703503727913,3.8413643836975098,0.22366784512996674,0.24127411842346191,1.275738000869751,0.630154550075531,0
DB6,148,292,146,0,0,0,0,0,7.644785910088103e-06,-0.25618261098861694,1.6595032215118408,-0.3923259675502777,0.012677842751145363,3.5807394981384277,0.49081951379776,0.26886045932769775,1.921236276626587,0.8831454515457153,0
DA9,128,252,126,0,0,0,0,0,4.406292191561079e-06,-0.06996539235115051,2.559784412384033,-0.5783184170722961,0.009593711234629154,4.094364166259766,0.8675357699394226,0.07955910265445709,1.5345797538757324,1.4458541870117188,0
DA7,184,364,182,0,0,0,0,0,7.644353900104761e-06,-0.028238538652658463,-0.8093976974487305,-1.9190490245819092,0.1911720335483551,3.097350597381592,1.5521138906478882,0.21941056847572327,3.9067482948303223,3.471162796020508,0
DA6,232,460,230,0,0,0,0,0,7.64344531489769e-06,-0.13383114337921143,-1.5014859437942505,-1.653074026107788,0.26065683364868164,2.3479599952697754,1.7723091840744019,0.39448797702789307,3.8494458198547363,3.4253830909729004,0
DA5,188,372,184,8,8,0,0,0,2.8584894607774913e-05,-0.1338309645652771,-2.189413070678711,-1.3382291793823242,0.24851173162460327,1.067022442817688,1.5547685623168945,0.38234269618988037,3.2564353942871094,2.8929977416992188,16
AS11,100,196,98,0,0,0,0,0,8.455296665488277e-06,-0.21688054502010345,2.3643224239349365,-0.44329023361206055,0.016479067504405975,3.2232744693756104,0.4771879017353058,0.23335960507392883,0.8589520454406738,0.920478105545044,0
AS10,96,188,93,4,4,0,0,0,9.082144060812425e-06,-0.21879157423973083,1.8022907972335815,-0.4608933627605438,0.014377344399690628,2.852970838546753,0.6902611255645752,0.23316891491413116,1.0506800413131714,1.1511545181274414,8
AS9,100,196,98,0,0,0,0,0,1.1259043276368175e-05,-0.2588389217853546,1.175452709197998,-0.3048414885997772,0.00987868383526802,2.3696601390838623,0.6517461538314819,0.26871761679649353,1.1942074298858643,0.9565876722335815,0
AS8,116,228,113,4,4,0,0,0,8.245428034570068e-06,-0.2592178285121918,-0.00714169442653656,-0.42435550689697266,0.01566265895962715,1.9139254093170166,0.662843644618988,0.2748804986476898,1.9210671186447144,1.0871992111206055,8
AS7,108,212,106,0,0,0,0,0,8.610890290583484e-06,-0.26068931818008423,-0.23683509230613708,-0.4965953826904297,0.011639023199677467,1.2987971305847168,0.5603586435317993,0.27232834696769714,1.5356322526931763,1.056954026222229,0
AS6,96,188,94,0,0,0,0,0,1.1420113878557459e-05,-0.2768687903881073,-0.8623448014259338,-0.874966025352478,0.020818542689085007,0.37466302514076233,0.3631136417388916,0.2976873219013214,1.2370078563690186,1.2380796670913696,0
AS5,104,204,102,0,0,0,0,0,1.1419429938541725e-05,-0.2724079191684723,-1.306586503982544,-0.9900931715965271,0.021921638399362564,0.057569779455661774,0.4257354736328125,0.29432955384254456,1.3641562461853027,1.4158287048339844,0
AS4,100,196,98,0,0,0,0,0,1.1419764632591978e-05,-0.2508395314216614,-1.846704363822937,-0.814777672290802,0.01522531732916832,-0.8111953139305115,0.38367509841918945,0.26606485247612,1.0355091094970703,1.1984527111053467,0
AS3,88,172,86,0,0,0,0,0,7.664059012313373e-06,-0.2533358633518219,-2.096727132797241,-0.477334201335907,0.01788041740655899,-1.3653935194015503,0.3806823492050171,0.2712162733078003,0.7313336133956909,0.8580165505409241,0
AS2,92,180,90,0,0,0,0,0,1.1419670045142993e-05,-0.2522958815097809,-2.4354770183563232,-0.16553542017936707,0.014377336949110031,-1.8726516962051392,0.5285189151763916,0.26667320728302,0.5628253221511841,0.694054365158081,0
VD13,112,220,110,0,0,0,0,0,3.4453687476343475e-06,-0.1800116002559662,3.351257562637329,-0.28517788648605347,0.01291610673069954,3.8923089504241943,0.23834562301635742,0.19292770326137543,0.5410513877868652,0.5235235095024109,0
VD12,116,228,114,0,0,0,0,0,5.062810032541165e-06,-0.21963107585906982,2.742804527282715,-0.4538937211036682,0.012734802439808846,3.5465824604034424,0.31495174765586853,0.23236587643623352,0.8037779331207275,0.7688454389572144,0
VD11,116,228,114,0,0,0,0,0,3.4452764339221176e-06,-0.24027352035045624,2.258021116256714,-0.40930303931236267,0.012591484934091568,3.0543646812438965,0.39871859550476074,0.2528650164604187,0.7963435649871826,0.8080216646194458,0
VD10,116,228,114,0,0,0,0,0,3.918847141903825e-06,-0.2642175555229187,1.8700488805770874,-0.2567564845085144,0.01161959394812584,2.528676748275757,0.49118876457214355,0.27583715319633484,0.6586278676986694,0.747945249080658,0
VD9,112,220,110,0,0,0,0,0,4.2253127503499854e-06,-0.2556506395339966,1.2670072317123413,-0.18812867999076843,0.010309642180800438,2.113219738006592,0.667733371257782,0.2659602761268616,0.8462125062942505,0.855862021446228,0
VD8,144,284,142,0,0,0,0,0,2.938386387540959e-06,-0.25963664054870605,0.3869592845439911,-0.34105390310287476,0.014204565435647964,1.571225643157959,0.7575803399085999,0.2738412022590637,1.1842663288116455,1.0986342430114746,0
VD7,132,260,130,0,0,0,0,0,6.9532229645119514e-06,-0.2751474976539612,-0.29493632912635803,-0.6358645558357239,0.013563379645347595,0.7092651128768921,0.3984450101852417,0.28871089220046997,1.0042014122009277,1.0343096256256104,0
VD6,116,228,114,0,0,0,0,0,3.631320169006358e-06,-0.26837873458862305,-0.8732281923294067,-0.9200279712677002,0.011999895796179771,0.16709670424461365,0.12289328873157501,0.28037863969802856,1.0403249263763428,1.0429213047027588,0
VD5,116,228,114,0,0,0,0,0,4.990160505258245e-06,-0.24910804629325867,-1.4196367263793945,-0.8682451844215393,0.016333257779479027,-0.488386869430542,0.0024763718247413635,0.26544129848480225,0.9312498569488525,0.8707215785980225,0
VD4,116,228,114,0,0,0,0,0,5.209613391343737e-06,-0.25371453166007996,-1.8432008028030396,-0.5433551669120789,0.013690145686268806,-1.1781799793243408,0.0934097170829773,0.2674046754837036,0.6650208234786987,0.6367648839950562,0
VD3,104,204,102,0,0,0,0,0,4.921654635836603e-06,-0.2522958517074585,-2.2294375896453857,-0.25199195742607117,0.011539090424776077,-1.62899649143219,0.3464638292789459,0.26383495330810547,0.6004410982131958,0.5984557867050171,0
DB5,212,420,210,0,0,0,0,0,7.645680852874648e-06,-0.1338241696357727,0.04767512530088425,-1.0775420665740967,0.26571279764175415,3.5557167530059814,1.2772088050842285,0.39953696727752686,3.5080416202545166,2.354750871658325,0
DB4,244,484,242,0,0,0,0,0,7.64465585234575e-06,-0.13383091986179352,-1.0499296188354492,-1.5797960758209229,0.23762956261634827,3.5407679080963135,1.0211482048034668,0.371460497379303,4.590697288513184,2.6009442806243896,0
DA8,128,252,126,0,0,0,0,0,3.3295273169642314e-06,-0.01768944412469864,2.5597851276397705,-0.5780295133590698,0.03679145127534866,4.091514587402344,0.8664841055870056,0.0544808954000473,1.5317294597625732,1.4445135593414307,0
DA4,152,300,150,0,0,0,0,0,7.643038770765997e-06,-0.0270118098706007,-2.711163282394409,-0.9705356955528259,0.258079469203949,-0.09919485449790955,0.7900240421295166,0.2850912809371948,2.611968517303467,1.7605597972869873,0
DA3,124,244,122,0,0,0,0,0,7.643053322681226e-06,-0.029186416417360306,-2.7057487964630127,-0.944977343082428,0.23717452585697174,-0.8914451003074646,1.125185489654541,0.26636093854904175,1.8143036365509033,2.070162773132324,0
DA2,120,236,118,0,0,0,0,0,5.425878043752164e-06,-0.2522958517074585,-2.7201621532440186,-0.25421345233917236,0.015215598046779633,-1.7438220977783203,0.6069233417510986,0.2675114572048187,0.9763400554656982,0.861136794090271,0
VC5,120,236,118,0,0,0,0,0,1.2362413599475985e-06,-0.03608373552560806,0.5323090553283691,-0.1795722395181656,0.013210936449468136,0.6928610801696777,-0.05481446161866188,0.04929467290639877,0.1605520248413086,0.124757781624794,0
URAVR,84,164,82,0,0,0,0,0,0.1082514077425003,-0.2609485387802124,-3.4240715503692627,0.3719951808452606,0.18367600440979004,-2.7191460132598877,0.5639282464981079,0.44462454319000244,0.704925537109375,0.1919330656528473,0
M5,196,388,194,0,0,0,0,0,3.1174797641142504e-06,-0.09483551234006882,-2.5563385486602783,0.2978530824184418,0.05661718174815178,-2.4060142040252686,0.44898074865341187,0.1514526903629303,0.15032434463500977,0.1511276662349701,0
M3R,120,236,118,0,0,0,0,0,2.70816985903366e-06,-0.09355267882347107,-2.977783441543579,0.45766857266426086,-0.028008021414279938,-2.8134028911590576,0.578349232673645,0.06554465740919113,0.16438055038452148,0.12068066000938416,0
M2R,68,132,66,0,0,0,0,0,1.084898212866392e-05,-0.1049080565571785,-3.00920033454895,0.36010247468948364,-0.03275066986680031,-2.4843101501464844,0.6037031412124634,0.07215738296508789,0.5248901844024658,0.24360066652297974,0
M1,100,196,98,0,0,0,0,0,2.395194087512209e-06,-0.048218920826911926,-3.4033825397491455,0.42606934905052185,0.0018818066455423832,-2.5039026737213135,0.599746584892273,0.05010072886943817,0.899479866027832,0.1736772358417511,0
