bbox_intersection_volume,object_a,object_b,extent_x,extent_y,extent_z
4.665856916243234,AVKR,AVBL,0.17692959308624268,6.897139549255371,3.823507308959961
4.66548073978129,PVNR,DB1,0.12480428814888,6.375903606414795,5.863070964813232
4.664984062437642,PVNL,DB1,0.12480428814888,6.375476837158203,5.862839221954346
4.663474181685984,AVBL,SIBDL,0.18038389086723328,6.755603790283203,3.826904773712158
4.656093582605964,AVKR,AVDL,0.17655932903289795,6.897141456604004,3.823507070541382
4.645588364775631,AVL,AVAR,0.17956189811229706,6.767125129699707,3.8231587409973145
4.643388196382243,DVA,AVBR,0.1792934238910675,6.801231384277344,3.8078784942626953
4.639409649664781,AVKR,AVFL,0.17630073428153992,6.894454002380371,3.8168818950653076
4.637678653674853,AVAR,SIBDL,0.17956188321113586,6.755603790283203,3.8231587409973145
4.637354902881886,AVFL,AVBR,0.1767011284828186,6.892460823059082,3.807647228240967
4.6372499534752585,AVBR,SMDVL,0.1792934238910675,6.792240619659424,3.8078784942626953
4.6368358172742,DVA,AVDL,0.17817649245262146,6.801234245300293,3.8263401985168457
4.636690225370443,AVFL,AVFR,0.17639407515525818,6.8933610916137695,3.813230514526367
4.635408392267146,SIBDR,SMDVR,0.3276780843734741,6.745173454284668,2.0972368717193604
4.631471901292898,AVBR,AVDL,0.17646625638008118,6.892460823059082,3.807878255844116
4.630706238744559,AVDL,SMDVL,0.17817649245262146,6.792243480682373,3.8263401985168457
4.630516774873606,AVFR,AVDL,0.17615921795368195,6.8933610916137695,3.813230514526367
4.624757578627099,DVA,AVFL,0.17815276980400085,6.801233291625977,3.8168818950653076
4.620102264870666,AVL,AVBR,0.1792934238910675,6.767124176025391,3.8078784942626953
4.6186436415986725,AVFL,SMDVL,0.17815276980400085,6.792242050170898,3.8168818950653076
4.6122369798729075,AVBR,SIBDL,0.1792934238910675,6.755603790283203,3.8078784942626953
4.611266754631166,DVA,AVFR,0.1778031885623932,6.801232814788818,3.813230514526367
4.6078627771380285,PVNR,AVBL,0.17791791260242462,6.767561435699463,3.826904773712158
4.60718493656585,PVNR,AVDL,0.17791791260242462,6.767564296722412,3.8263401985168457
4.6068872613469045,AVL,AVDL,0.17791791260242462,6.76712703704834,3.8263401985168457
4.606033411925574,DVA,PDEL,0.4021286070346832,6.326817989349365,1.8104093074798584
4.606032729206213,PVDL,PDEL,0.40212854743003845,6.326817989349365,1.8104093074798584
4.605786767184168,DVA,AVKR,0.1771145462989807,6.801233291625977,3.823507308959961
4.605170975364327,AVFR,SMDVL,0.1778031885623932,6.792242050170898,3.813230514526367
4.603353263059443,PVNR,AVAR,0.17791791260242462,6.7675628662109375,3.8231587409973145
4.601564759274834,AVL,AVFL,0.17815276980400085,6.767125606536865,3.8168818950653076
4.599697909599273,AVKR,SMDVL,0.1771145462989807,6.792242050170898,3.823507308959961
4.599042144057421,AVDL,SIBDL,0.17791789770126343,6.755603790283203,3.8263401985168457
4.595795112132681,PVNR,AVFL,0.17791789770126343,6.7675628662109375,3.8168818950653076
4.59373006154372,AVFL,SIBDL,0.17815276980400085,6.755603790283203,3.8168818950653076
4.589028680768976,AVKR,AVBR,0.17484909296035767,6.892460823059082,3.8078784942626953
4.588141589148394,AVL,AVFR,0.1778031885623932,6.767125129699707,3.813230514526367
4.5880080578747,AVKR,AVFR,0.17454205453395844,6.8933610916137695,3.813230514526367
4.58469779178675,ALA,SIBDL,0.29653200507164,6.678957939147949,2.3148903846740723
4.580330068668662,AVFR,SIBDL,0.1778031885623932,6.755603790283203,3.813230514526367
4.561927524119542,PVNR,AVKR,0.1763007491827011,6.7675628662109375,3.823507308959961
4.56163277296883,AVL,AVKR,0.1763007491827011,6.767125606536865,3.823507308959961
4.561603621916411,AVKR,AVDR,0.17313453555107117,6.896243095397949,3.820509433746338
4.561603621916411,AVAR,AVDR,0.17313453555107117,6.896243095397949,3.820509433746338
4.56160333724991,AVDL,AVDR,0.17313453555107117,6.896243095397949,3.820509195327759
4.5616029910969695,AVBL,AVDR,0.17313453555107117,6.896242141723633,3.820509433746338
4.556089812359951,AVFL,AVDR,0.17313453555107117,6.894453525543213,3.8168818950653076
4.553865679177561,AVKR,SIBDL,0.17630073428153992,6.755603790283203,3.823507308959961
4.547544541326522,PVNR,AVBR,0.17646625638008118,6.767561435699463,3.8078784942626953
4.547277945259986,PVNL,AVBL,0.1755896955728531,6.767134666442871,3.826904773712158
4.546609017152792,PVNL,AVDL,0.1755896955728531,6.76713752746582,3.8263401985168457
4.546013615205124,PVNR,AVFR,0.17615921795368195,6.7675628662109375,3.813230514526367
4.54445970131674,SIBDR,PVDL,0.33258336782455444,6.5152974128723145,2.0972368717193604
4.544176198854224,AVAL,SMDVL,0.17481374740600586,6.792241096496582,3.827070713043213
4.543242225280019,PVNL,AVKR,0.1755896955728531,6.767136573791504,3.823507308959961
4.5428277229712295,PVNL,AVAR,0.1755896955728531,6.767136096954346,3.8231587409973145
4.535369647111904,PVNL,AVFL,0.1755896955728531,6.767136573791504,3.8168818950653076
4.530653427012008,Cuticle,SMDVL,0.30334287881851196,6.803171157836914,2.1954100131988525
4.52894470463447,AVAR,AVAL,0.17175611853599548,6.897036075592041,3.8231585025787354
4.515206490745119,DB3,PVDR,0.23906202614307404,5.621344566345215,3.359903573989868
4.507171918037019,AVKR,AVAL,0.1709122359752655,6.897140026092529,3.823507308959961
4.506960345370846,AVBL,AVAL,0.17072729766368866,6.898158073425293,3.826904535293579
4.506808898399887,AVBR,AVDR,0.17171639204025269,6.892460823059082,3.8078784942626953
4.505660945202737,AVFR,AVDR,0.17140933871269226,6.893360137939453,3.813230514526367
4.498757604266999,DVA,AVDR,0.17313453555107117,6.80123233795166,3.820509433746338
4.49678772638413,SMDVR,DB1,0.11413736641407013,6.400583267211914,6.155381679534912
4.496411668878875,AVDL,AVAL,0.17035701870918274,6.897988319396973,3.8263401985168457
4.492810553985047,AVDR,SMDVL,0.17313453555107117,6.79224157333374,3.820509433746338
4.487264046983685,PVNL,AVBR,0.17413806915283203,6.767134666442871,3.8078784942626953
4.485648814403802,PVNL,AVFR,0.1738310158252716,6.767136573791504,3.813230514526367
4.480728291857577,AVAL,AVDR,0.17006495594978333,6.896242141723633,3.820509433746338
4.480465842701536,AVL,DB3,0.1524447649717331,5.621344566345215,5.228419780731201
4.4764862084855634,PVNR,AVDR,0.17313453555107117,6.767562389373779,3.820509433746338
4.476203916785625,PVNL,AVDR,0.17313453555107117,6.7671356201171875,3.820509433746338
4.476196977771772,AVL,AVDR,0.17313453555107117,6.767125129699707,3.820509433746338
4.4761936624446195,AVFL,AVAL,0.1700984388589859,6.894453048706055,3.8168818950653076
4.468576048102583,AVDR,SIBDL,0.17313453555107117,6.755603790283203,3.820509433746338
4.440738707290023,AVL,DB1,0.12480428814888,6.375466346740723,5.581022262573242
4.435293261608523,DVA,DB4,0.371460497379303,4.590697288513184,2.6009442806243896
4.435292194076116,DB4,PVDL,0.3714604079723358,4.590697288513184,2.6009442806243896
4.426245385192169,AVBR,AVAL,0.16864679753780365,6.892460823059082,3.8078784942626953
4.424973758038064,AVFR,AVAL,0.16833975911140442,6.893359661102295,3.813230514526367
4.405539019353807,PVNR,AVAL,0.1700984388589859,6.767561912536621,3.827070713043213
4.405261201635037,PVNL,AVAL,0.1700984388589859,6.767135143280029,3.827070713043213
4.405254448099469,AVL,AVAL,0.1700984537601471,6.767124176025391,3.827070713043213
4.404323819411869,PVNR,DB3,0.14721515774726868,5.621344566345215,5.322142601013184
4.404116179386472,SIBDL,SMDVR,0.1450311541557312,6.748187065124512,4.4999775886535645
4.39796111866091,Cuticle,SIBDL,0.29653200507164,6.755603790283203,2.1954100131988525
4.397754535832785,AVAL,SIBDL,0.1700984388589859,6.755603790283203,3.827070713043213
4.38991174671628,Cuticle,PDEL,0.4021286070346832,6.326817989349365,1.7254623174667358
4.372100975417394,CANL,PVDL,0.19972343742847443,6.5152974128723145,3.3599042892456055
4.365623465619118,DA6,SMDVR,0.33108454942703247,3.8494458198547363,3.4253830909729004
4.363883022745899,ALA,SIBDR,0.33258336782455444,6.678872585296631,1.964578628540039
4.33453134770686,PVNL,DB3,0.14488695561885834,5.621344566345215,5.321972846984863
4.213776909051308,Excretory_Cell,SMDVR,0.33108454942703247,6.8031721115112305,1.8707733154296875
4.196766586094528,Excretory_Cell,SIBDR,0.33258336782455444,6.745173454284668,1.8707733154296875
4.161736659564641,Excretory_Cell,PDEL,0.3992212116718292,6.326817989349365,1.6476905345916748
4.112461737871193,SMDVL,PVDL,0.18786276876926422,6.5152974128723145,3.3599042892456055
4.102878084102516,AVAL,SMDVR,0.15783707797527313,6.792241096496582,3.827070713043213
4.009240302200572,AVL,PVDL,0.18314747512340546,6.5152974128723145,3.3599042892456055
4.009239976002594,SIBDL,PVDL,0.18314746022224426,6.5152974128723145,3.3599042892456055
4.003918382194232,AVAL,PVDL,0.18290436267852783,6.5152974128723145,3.3599042892456055
3.96703713404242,AVAR,PVDL,0.18121957778930664,6.5152974128723145,3.3599042892456055
3.964222554663813,ALA,PVDR,0.2628411650657654,6.515296936035156,2.3148903846740723
3.9625095061118043,AVBL,PVDL,0.18101274967193604,6.5152974128723145,3.3599042892456055
3.9565924091680014,Cuticle,PVDR,0.2766122817993164,6.515296936035156,2.1954100131988525
3.9531984732065633,DB4,SMDVR,0.33108454942703247,4.590697288513184,2.6009442806243896
3.9248721310476604,AVBR,PVDL,0.1792934238910675,6.5152974128723145,3.3599042892456055
3.9085150264105417,AVKL,AVAL,0.15360704064369202,6.809272766113281,3.7368006706237793
3.900421635430424,AVDL,PVDL,0.17817649245262146,6.5152974128723145,3.3599042892456055
3.8999023282499095,AVFL,PVDL,0.17815276980400085,6.5152974128723145,3.3599042892456055
3.894761121923221,PVNR,PVDL,0.17791791260242462,6.5152974128723145,3.3599042892456055
3.892249723692831,AVFR,PVDL,0.1778031885623932,6.5152974128723145,3.3599042892456055
3.8771748103509376,AVKR,PVDL,0.1771145462989807,6.5152974128723145,3.3599042892456055
3.860702776136249,Excretory_Cell,SMDVL,0.30334287881851196,6.803171157836914,1.8707733154296875
3.8460511619753612,ALA,PDEL,0.3980061709880829,6.326817989349365,1.5273547172546387
3.843794645093888,PVNL,PVDL,0.1755896955728531,6.5152974128723145,3.3599042892456055
