object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after
Gonadal_Sheath_A4D,Gonadal_Sheath_A4D,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A4D.stl,2016,2016,0,0.015989638864994,-1.545615315437317,-0.4922398626804352,0.1439960896968841,-1.074931025505066,-0.222730666399002,0.1280064582824707,0.470684289932251,0.2695091962814331,False,True,True,2016
Gonadal_Sheath_P5D,Gonadal_Sheath_P5D,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P5D.stl,2800,2800,0,-0.1842733174562454,1.7723113298416138,0.0420669689774513,-0.0459034591913223,2.263644933700561,0.214116558432579,0.1383698582649231,0.4913336038589477,0.1720495820045471,False,True,True,2800
Gonadal_Sheath_P4D,Gonadal_Sheath_P4D,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P4D.stl,2016,2016,0,-0.1782239377498626,2.243856430053711,-0.1110231578350067,-0.0362118408083915,2.815706968307495,0.1220008358359336,0.1420120894908905,0.5718505382537842,0.233024001121521,False,True,True,2016
Gonadal_Sheath_P3L,Gonadal_Sheath_P3L,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P3L.stl,2208,2208,0,-0.0823899880051612,2.806339979171753,-0.2087680548429489,-0.0215813219547271,3.344473123550415,-0.036458782851696,0.0608086660504341,0.5381331443786621,0.1723092794418335,False,True,True,2208
Gonadal_Sheath_P2L,Gonadal_Sheath_P2L,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P2L.stl,2912,2912,0,-0.0654301568865776,3.3297364711761475,-0.1669297963380813,-0.016178835183382,3.540501832962036,-0.0191966705024242,0.0492513217031955,0.2107653617858886,0.1477331221103668,False,True,True,2912
Gonadal_Sheath_P1L,Gonadal_Sheath_P1L,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P1L.stl,6496,6496,0,-0.1042631715536117,1.4115997552871704,-0.0582525581121444,-0.0177290514111518,3.539822578430176,0.390127569437027,0.0865341201424598,2.128222942352295,0.4483801126480102,False,True,True,6496
Gonadal_Sheath_A3L,Gonadal_Sheath_A3L,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A3L.stl,1760,1760,0,0.0680998042225837,-2.067671298980713,-0.3547675907611847,0.1446509659290313,-1.516860008239746,0.0712369903922081,0.0765511617064476,0.5508112907409668,0.4260045886039734,False,True,True,1760
Gonadal_Sheath_A2L,Gonadal_Sheath_A2L,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A2L.stl,2208,2208,0,0.0650133192539215,-2.265810012817383,-0.0384285375475883,0.1396667808294296,-1.9974777698516848,0.2027007043361663,0.0746534615755081,0.2683322429656982,0.2411292493343353,False,True,True,2208
Gonadal_Sheath_A1L,Gonadal_Sheath_A1L,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A1L.stl,6256,6256,0,0.0601521208882331,-2.264347791671753,-0.4441431164741516,0.1529565453529358,-0.0531853698194026,0.2995389103889465,0.0928044244647026,2.2111623287200928,0.7436820268630981,True,True,True,6256
Rachis_P,Rachis_P,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Rachis_P.stl,3520,3520,0,-0.1584619581699371,1.2966868877410889,-0.1517595946788787,-0.0360148027539253,3.523613214492798,0.3677148818969726,0.1224471554160118,2.226926326751709,0.5194745063781738,True,True,True,3570
Rachis_A,Rachis_A,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Rachis_A.stl,3136,3136,0,0.0190656594932079,-2.2383360862731934,-0.4261868894100189,0.1507438272237777,0.0193327795714139,0.2824822962284088,0.1316781640052795,2.257668972015381,0.7086691856384277,True,True,True,3214
Gonadal_Sheath_P4V,Gonadal_Sheath_P4V,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P4V.stl,1504,1504,0,-0.1782239526510238,2.2174670696258545,-0.1886894255876541,-0.0362118408083915,2.809246778488159,0.0419473014771938,0.1420121192932129,0.5917797088623047,0.2306367307901382,False,True,True,1504
Gonadal_Sheath_P3R,Gonadal_Sheath_P3R,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P3R.stl,2208,2208,0,-0.1473369598388672,2.806339979171753,-0.2087680399417877,-0.0683556795120239,3.344473123550415,-0.0364587232470512,0.0789812803268432,0.5381331443786621,0.1723093092441558,False,True,True,2208
Gonadal_Sheath_P2R,Gonadal_Sheath_P2R,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P2R.stl,2912,2912,0,-0.1190717667341232,3.3297362327575684,-0.1669297814369201,-0.0654301568865776,3.540478229522705,-0.0192904323339462,0.0536416098475456,0.2107419967651367,0.1476393491029739,False,True,True,2912
Gonadal_Sheath_P1R,Gonadal_Sheath_P1R,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P1R.stl,6496,6496,0,-0.1838171929121017,1.4115993976593018,-0.0582526177167892,-0.0651473402976989,3.539647340774536,0.3901275396347046,0.1186698526144027,2.1280479431152344,0.448380172252655,False,True,True,6496
Gonadal_Sheath_A4V,Gonadal_Sheath_A4V,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A4V.stl,1504,1504,0,0.0068031074479222,-1.5865869522094729,-0.56890469789505,0.1437451094388961,-1.0924838781356812,-0.2915327847003937,0.1369419991970062,0.4941030740737915,0.2773719131946563,False,True,True,1504
Gonadal_Sheath_A3R,Gonadal_Sheath_A3R,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A3R.stl,1760,1760,0,0.0121775493025779,-2.067671298980713,-0.3547675907611847,0.0792859941720962,-1.516860008239746,0.0712370201945304,0.0671084448695182,0.5508112907409668,0.4260046184062958,False,True,True,1760
Gonadal_Sheath_A2R,Gonadal_Sheath_A2R,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A2R.stl,2208,2208,0,0.0023038126528263,-2.265810012817383,-0.0384285375475883,0.0689335837960243,-1.997477889060974,0.2027007043361663,0.0666297674179077,0.2683321237564087,0.2411292493343353,False,True,True,2208
Gonadal_Sheath_A1R,Gonadal_Sheath_A1R,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A1R.stl,6256,6256,0,0.005824077874422,-2.264348030090332,-0.4441430866718292,0.0841255486011505,-0.0531853735446929,0.2995389699935913,0.0783014744520187,2.211162567138672,0.7436820268630981,False,True,True,6256
ut2_Ant,ut2_Ant,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/ut2_Ant.stl,2048,2048,0,-0.2343386560678482,0.0968548655509948,-0.3665443956851959,0.2096683084964752,0.3634616732597351,-0.0987553969025611,0.4440069794654846,0.2666068077087402,0.2677890062332153,False,True,True,2048
vulA,vulA,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vulA.stl,1280,1280,0,-0.14661306142807,0.3945460915565491,-0.2926172912120819,0.1468788683414459,0.7408710718154907,-0.0974522605538368,0.293491929769516,0.3463249802589416,0.1951650381088256,False,True,True,1280
vulB1,vulB1,reproductive,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vulB1.stl,1280,1280,0,-0.1475142985582351,0.4352706372737884,-0.2543108761310577,0.1421586275100708,0.6849634647369385,-0.1118719652295112,0.2896729111671448,0.24969282746315,0.142438918352127,False,True,True,1280
