object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after
Phar_Gland_g1_L,Phar_Gland_g1_L,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Phar_Gland_g1_L.stl,10176,10176,0,-0.0142345074564218,-2.85286021232605,0.3030652403831482,0.0319824740290641,-2.530062437057495,0.4892880022525787,0.0462169796228408,0.3227977752685547,0.1862227618694305,False,True,True,10176
Phar_Gland_g2_VL,Phar_Gland_g2_VL,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Phar_Gland_g2_VL.stl,1984,1984,0,-0.0128163900226354,-2.590960741043091,0.2710516154766083,0.052266638725996,-2.3846564292907715,0.4040462374687195,0.0650830268859863,0.2063043117523193,0.1329946219921112,True,True,True,1984
pm4VR,pm4VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm4VR.stl,3392,3392,0,-0.1138570755720138,-3.0498287677764893,0.4348773658275604,-0.0258730910718441,-2.9194278717041016,0.5644342303276062,0.0879839807748794,0.1304008960723877,0.1295568645000457,False,True,True,3392
pm3VL,pm3VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm3VL.stl,6576,6576,0,-0.0184676758944988,-3.419351577758789,0.4720301032066345,0.0492414906620979,-3.04703688621521,0.5906681418418884,0.0677091628313064,0.3723146915435791,0.1186380386352539,False,True,True,6576
pm3D,pm3D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm3D.stl,5232,5232,0,-0.068312756717205,-3.4159183502197266,0.5463932156562805,0.0272904671728611,-3.044244766235352,0.6157834529876709,0.0956032276153564,0.371673583984375,0.0693902373313903,False,True,True,5232
mc1DL,mc1DL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc1DL.stl,9312,9312,0,-0.0114006362855434,-3.422827243804932,0.5362011790275574,0.0631276071071624,-2.917506217956543,0.6035539507865906,0.0745282471179962,0.5053210258483887,0.0673527717590332,False,True,True,9312
pm3VR,pm3VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm3VR.stl,6320,6320,0,-0.091921366751194,-3.4193029403686523,0.4703682661056518,-0.0237209498882293,-3.046719789505005,0.5898585319519043,0.0682004168629646,0.3725831508636474,0.1194902658462524,False,True,True,6320
pm7VR,pm7VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm7VR.stl,4768,4768,0,-0.1461051404476165,-2.494781494140625,0.2459446489810943,-0.0252264849841594,-2.375679016113281,0.4129047095775604,0.1208786517381668,0.1191024780273437,0.166960060596466,False,True,True,4768
vm1L_Ant,vm1L_Ant,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm1L_Ant.stl,576,576,0,0.0210130885243415,0.3645422458648681,-0.2215155810117721,0.1545574516057968,0.5471293926239014,-0.1702578663825988,0.1335443556308746,0.1825871467590332,0.0512577146291732,False,True,True,576
vm2R_Ant,vm2R_Ant,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm2R_Ant.stl,576,576,0,-0.1038216650485992,0.3939864039421081,-0.2824817597866058,-0.0116559825837612,0.5383912324905396,-0.1529406458139419,0.0921656787395477,0.1444048285484314,0.1295411139726638,False,True,True,576
vm2L_Post,vm2L_Post,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm2L_Post.stl,576,576,0,0.0137424878776073,0.5412086844444275,-0.1523945182561874,0.0862509831786155,0.7043797373771667,-0.0984479337930679,0.0725084990262985,0.1631710529327392,0.0539465844631195,False,True,True,576
vm1R_Ant,vm1R_Ant,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm1R_Ant.stl,704,704,0,-0.1568931639194488,0.3466046452522278,-0.2514635324478149,-0.0205182805657386,0.5469571352005005,-0.1705695390701294,0.1363748908042907,0.2003524899482727,0.0808939933776855,False,True,True,704
vm1R_Post,vm1R_Post,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm1R_Post.stl,704,704,0,-0.1747953593730926,0.550958514213562,-0.1694268882274627,-0.0191066414117813,0.6707482933998108,-0.0352110415697097,0.1556887179613113,0.1197897791862487,0.134215846657753,False,True,True,704
vm1L_Post,vm1L_Post,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm1L_Post.stl,704,704,0,0.0210679620504379,0.5505790710449219,-0.1699142456054687,0.1575567126274109,0.6716834306716919,-0.0298962295055389,0.1364887505769729,0.12110435962677,0.1400180160999298,False,True,True,704
vm2R_Post,vm2R_Post,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm2R_Post.stl,576,576,0,-0.1014875918626785,0.5414248704910278,-0.1521735936403274,-0.0114689841866493,0.7115099430084229,-0.099605768918991,0.0900186076760292,0.170085072517395,0.0525678247213363,False,True,True,576
vm2L_Ant,vm2L_Ant,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm2L_Ant.stl,576,576,0,0.0127365607768297,0.4024156332015991,-0.2757580876350403,0.0928896367549896,0.5388345122337341,-0.1516061723232269,0.080153077840805,0.136418879032135,0.1241519153118133,False,True,True,576
Pharyn-Intest-Valve,Pharyn-Intest-Valve,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Pharyn-Intest-Valve.stl,4096,4096,0,-0.1091055795550346,-2.380722761154175,0.2609739601612091,0.0678585916757583,-2.283809185028076,0.4423901736736297,0.1769641637802124,0.0969135761260986,0.1814162135124206,False,True,True,4096
int1DL,int1DL,intestine,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/int1DL.stl,2176,2176,0,-0.092747576534748,-2.3270082473754883,-0.0928492397069931,0.0595735497772693,-1.6283782720565796,0.4168213307857513,0.1523211300373077,0.6986299753189087,0.5096705555915833,True,True,True,2176
Anus,Anus,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Anus.stl,640,640,0,-0.045030977576971,3.8122079372406006,-0.0219384580850601,-0.0148654086515307,3.9890408515930176,0.0326665751636028,0.0301655679941177,0.176832914352417,0.0546050332486629,True,True,True,772
int9L,int9L,intestine,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/int9L.stl,3008,3008,0,-0.0346252769231796,3.052457571029663,-0.189011737704277,0.1331721097230911,3.815728902816773,0.0486610829830169,0.1677973866462707,0.7632713317871094,0.237672820687294,False,True,True,3008
int8L,int8L,intestine,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/int8L.stl,1856,1856,0,0.0590760894119739,2.386909484863281,-0.1752261668443679,0.1568200141191482,3.0585124492645264,0.1909406930208206,0.0977439284324646,0.6716029644012451,0.3661668598651886,False,True,True,1856
int7L,int7L,intestine,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/int7L.stl,1856,1856,0,0.0597447156906127,1.7239519357681274,-0.0539794415235519,0.1736117154359817,2.428575277328491,0.4045467674732208,0.1138669997453689,0.7046233415603638,0.4585261940956116,False,True,True,1856
int6L,int6L,intestine,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/int6L.stl,2624,2624,0,-0.015161745250225,1.0630781650543213,0.0698435381054878,0.178239032626152,1.7462464570999146,0.4593932628631592,0.1934007704257965,0.6831682920455933,0.3895497322082519,False,True,True,2624
