name,input_path,output_path,status,used_meshfix,error,vertices_before,faces_before,watertight_before,winding_before,euler_before,volume_before,components_before,degenerate_removed,tiny_components_removed,vertices_after,faces_after,watertight_after,winding_after,euler_after,volume_after,components_after
mu_bod_VL10,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL10.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL10.stl,ok,False,,22464,7488,False,True,7488,0.0017007221863152508,7488,0,0,3746,7488,True,True,2,0.0017007221863152508,
mu_bod_VL8,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL8.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL8.stl,ok,False,,11616,3872,False,True,3872,0.0013865990896257847,3872,0,0,1938,3872,True,True,2,0.0013865990896257847,
mu_bod_VL6,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL6.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL6.stl,ok,False,,7824,2608,False,True,2608,0.0006690233127389002,2608,0,0,1306,2608,True,True,2,0.0006690233127389002,
mu_bod_VL4,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL4.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL4.stl,ok,False,,5376,1792,False,True,1792,0.00036399747165282147,1792,0,0,898,1792,True,True,2,0.00036399747165282147,
mu_bod_VL2,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL2.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL2.stl,ok,False,,11232,3744,False,True,3744,0.00038907635999165343,3744,0,0,1874,3744,True,True,2,0.00038907635999165343,
mu_bod_VL21,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL21.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL21.stl,ok,False,,10848,3616,False,True,3616,0.0017442077930105958,3616,0,0,1810,3616,True,True,2,0.0017442077930105958,
mu_bod_VL19,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL19.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL19.stl,ok,True,,7968,2656,False,True,2656,0.0013177183072384726,2656,0,0,1327,2650,True,True,2,0.0013177139819161108,
mu_bod_VL17,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL17.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL17.stl,ok,True,,13728,4576,False,True,4576,0.0024018047790107405,4576,0,0,2287,4570,True,True,2,0.002401802484282199,
mu_bod_VL15,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL15.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL15.stl,ok,False,,14880,4960,False,True,4960,0.002567791884765186,4960,0,0,2482,4960,True,True,2,0.002567791884765186,
mu_bod_VL13,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL13.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL13.stl,ok,False,,11040,3680,False,True,3680,0.0020380925455421943,3680,0,0,1842,3680,True,True,2,0.0020380925455421943,
