
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMDL category=NervousSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RIML category=NervousSystem raw_tri=4672 kept_tri=4672 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMFL category=NervousSystem raw_tri=3520 kept_tri=3520 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SMBDL category=NervousSystem raw_tri=5952 kept_tri=5952 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SMDDL category=NervousSystem raw_tri=6080 kept_tri=6080 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMHL category=NervousSystem raw_tri=3520 kept_tri=3520 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMDDL category=NervousSystem raw_tri=1984 kept_tri=1984 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RMGL category=NervousSystem raw_tri=2496 kept_tri=2496 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=URAVL category=NervousSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=URADL category=NervousSystem raw_tri=2880 kept_tri=2880 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SMBVL category=NervousSystem raw_tri=7360 kept_tri=7360 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVM category=NervousSystem raw_tri=4672 kept_tri=4672 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVDR category=NervousSystem raw_tri=217226 kept_tri=217226 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PDER category=NervousSystem raw_tri=6720 kept_tri=6720 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVM category=NervousSystem raw_tri=5312 kept_tri=5312 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ALMR category=NervousSystem raw_tri=4032 kept_tri=4032 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVR category=NervousSystem raw_tri=9664 kept_tri=9664 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PLMR category=NervousSystem raw_tri=5696 kept_tri=5696 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PHCR category=NervousSystem raw_tri=3136 kept_tri=3136 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PHBR category=NervousSystem raw_tri=2496 kept_tri=2496 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVDL category=NervousSystem raw_tri=217902 kept_tri=217902 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=IL2VR category=NervousSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
