
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/manifest_wu_core_children.csv
[OPENWORM-VALIDATOR] objects  = 204
[OPENWORM-VALIDATOR][LOADED] 82 name=Sp_bag_A_3V category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 83 name=Sp_bag_A_2L category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 84 name=Sp_bag_A_1V category=reproductive_rectal_system raw_tri=6144 kept_tri=6144 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 85 name=Sp_neck_A_4L category=reproductive_rectal_system raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 86 name=Sp_neck_A_2L category=reproductive_rectal_system raw_tri=2368 kept_tri=2368 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 87 name=Sp_neck_A_3R category=reproductive_rectal_system raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 88 name=Sp_neck_A_4R category=reproductive_rectal_system raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 89 name=Sp_neck_A_3L category=reproductive_rectal_system raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 90 name=Sp_neck_A_2R category=reproductive_rectal_system raw_tri=2368 kept_tri=2368 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 91 name=Sp_neck_A_1L category=reproductive_rectal_system raw_tri=2304 kept_tri=2304 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 92 name=Sp_neck_A_1R category=reproductive_rectal_system raw_tri=2304 kept_tri=2304 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 93 name=Sp_bag_A_4L category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 94 name=Gonadal_Sheath_A5D category=reproductive_rectal_system raw_tri=3040 kept_tri=3040 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 95 name=Gonadal_Sheath_A4D category=reproductive_rectal_system raw_tri=2016 kept_tri=2016 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 96 name=Gonadal_Sheath_P5D category=reproductive_rectal_system raw_tri=2800 kept_tri=2800 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 97 name=Gonadal_Sheath_P4D category=reproductive_rectal_system raw_tri=2016 kept_tri=2016 skipped_deg=0
