120:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_neck_P_4L category=ReproductiveSystem raw_tri=2432 kept_tri=2432 skipped_deg=0
121:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_neck_P_3L category=ReproductiveSystem raw_tri=2432 kept_tri=2432 skipped_deg=0
122:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_neck_P_2R category=ReproductiveSystem raw_tri=2368 kept_tri=2368 skipped_deg=0
123:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_neck_P_4R category=ReproductiveSystem raw_tri=2432 kept_tri=2432 skipped_deg=0
124:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_1V category=ReproductiveSystem raw_tri=6144 kept_tri=6144 skipped_deg=0
125:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_2R category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
126:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_3V category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
127:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_1D category=ReproductiveSystem raw_tri=6144 kept_tri=6144 skipped_deg=0
128:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_1R category=ReproductiveSystem raw_tri=6144 kept_tri=6144 skipped_deg=0
129:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_1L category=ReproductiveSystem raw_tri=6144 kept_tri=6144 skipped_deg=0
130:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_2D category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
131:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_2L category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
132:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_2V category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
133:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_3D category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
134:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_3L category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
135:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_3R category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
136:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_4D category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
137:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_4L category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
138:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_P_4V category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
139:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_A_4V category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
140:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_A_4R category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
141:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Sp_bag_A_4D category=ReproductiveSystem raw_tri=1216 kept_tri=1216 skipped_deg=0
