
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/openworm_object_stl_manifest_repaired.csv
[OPENWORM-VALIDATOR] objects  = 694
[OPENWORM-VALIDATOR][LOADED] 67 name=mu_bod_VL6 category=muscle/pharynx-muscle raw_tri=2608 kept_tri=2608 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 68 name=mu_bod_VL4 category=muscle/pharynx-muscle raw_tri=1792 kept_tri=1792 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 69 name=mu_bod_VL2 category=muscle/pharynx-muscle raw_tri=3744 kept_tri=3744 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 70 name=mu_bod_VL21 category=muscle/pharynx-muscle raw_tri=3616 kept_tri=3616 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 71 name=mu_bod_VL19 category=muscle/pharynx-muscle raw_tri=2650 kept_tri=2650 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 72 name=mu_bod_VL17 category=muscle/pharynx-muscle raw_tri=4570 kept_tri=4570 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 73 name=mu_bod_VL15 category=muscle/pharynx-muscle raw_tri=4960 kept_tri=4960 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 74 name=mu_bod_VL13 category=muscle/pharynx-muscle raw_tri=3680 kept_tri=3680 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 75 name=mu_bod_VL11 category=muscle/pharynx-muscle raw_tri=4192 kept_tri=4192 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 76 name=mu_bod_VL9 category=muscle/pharynx-muscle raw_tri=4138 kept_tri=4138 skipped_deg=0
