eventID,regionID,region_key,parentPDG,secondaryPDG,ekin_keV,x_um,y_um,z_um,run_name,case,source_geometry,condition_label,dose_rate_Gy_s,pulse_s,nominal_total_dose_Gy,region_label
19965,1,body,22,11,2.2231734702694204,22.01689965629807,-191.8425071230728,-73.25928284148239,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
22448,1,body,22,11,0.7916041382786259,-2.249377890992323,-461.25794125064255,-30.03854067404051,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
22489,1,body,22,11,15.599499540462178,11.83559391810492,274.372720110178,5.526918530334987,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
22500,1,body,22,11,0.5779874642425848,30.560949024703284,-297.7958960363819,36.49075135252139,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
22662,1,body,22,11,1.4011187266253873,12.245706082501098,-433.5497799849406,38.088468535124605,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
26379,1,body,22,11,6.3132823073189765,28.81857844384784,-159.31447705140312,-62.5106642628684,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
26518,1,body,22,11,1.4130939955629742,-5.002220177095168,-416.69739379340666,47.18999032183743,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
28762,1,body,22,11,4.533367077283423,-7.5612435971101775,259.2270483185685,16.55961912270939,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
28796,1,body,22,11,3.3525844872431367,-8.595753269807949,-286.1610602321543,-74.30168448430624,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
28858,1,body,22,11,4.7380128297176,12.349407027151424,40.16920004540875,52.996500954831966,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
28901,1,body,22,11,5.81999127784488,-25.852160472594733,-75.20835218494304,-37.24682602603439,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
28963,1,body,22,11,0.9749192722895488,6.64190034585264,-290.92089101987,75.29161642627484,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
28990,1,body,22,11,2.8707852813605563,-3.793402715756624,-440.7158781229804,-8.842158488379662,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
29032,1,body,22,11,2.2530025666717792,14.361295985295918,-340.4373559985552,39.31563560020151,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
29056,1,body,22,11,24.78994790539418,1.960100005266131,-192.45647062298477,-68.08038620895873,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
29056,1,body,11,11,3.5339781393816856,2.948557707843703,-190.21155990068797,-67.39867755557584,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
