object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after,compartment,geometry_role,role_note,validator_category
PVNR,PVNR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/PVNR.stl,10560,10560,0,-0.1286012828350067,-2.7548866271972656,-0.6562936305999756,0.0493166260421276,4.113475799560547,0.5334696769714355,0.1779179126024246,6.8683624267578125,1.1897633075714111,False,True,True,10560,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
PVWR,PVWR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/PVWR.stl,2112,2112,0,-0.0716969072818756,3.5253303050994877,-0.2264677882194519,-0.0132057145237922,4.067513942718506,0.0825833976268768,0.0584911927580833,0.5421836376190186,0.3090511858463287,False,True,True,2112,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
PVCR,PVCR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/PVCR.stl,7744,7744,0,-0.1247539073228836,-2.754673957824707,-0.6502827405929565,-0.0130846928805112,4.049065589904785,0.5339186191558838,0.1116692125797271,6.803739547729492,1.1842013597488403,False,True,True,7744,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
LUAR,LUAR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/LUAR.stl,1824,1824,0,-0.0713668689131736,3.5071890354156494,-0.2314527779817581,-0.0128541551530361,4.047729015350342,0.0498840771615505,0.0585127137601375,0.5405399799346924,0.2813368439674377,True,True,True,1838,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
PVPL,PVPL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/PVPL.stl,6592,6592,0,-0.1273076683282852,-2.75467300415039,-0.6551051139831543,0.0493166297674179,3.690841674804688,0.5339181423187256,0.1766242980957031,6.445514678955078,1.18902325630188,False,True,True,6592,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
RIPR,RIPR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/RIPR.stl,4416,4416,0,-0.0864243730902671,-3.408702850341797,0.4272371828556061,0.0799826011061668,-2.746875524520874,0.5830096006393433,0.166406974196434,0.6618273258209229,0.1557724177837371,False,True,True,4416,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
URBR,URBR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/URBR.stl,1728,1728,0,-0.1213367134332656,-3.407285213470459,0.4435258507728576,-0.0626352801918983,-2.743971347808838,0.5837677121162415,0.0587014332413673,0.6633138656616211,0.1402418613433838,False,True,True,1728,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
AIBR,AIBR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/AIBR.stl,4160,4160,0,-0.0909935384988784,-2.7619614601135254,0.26655313372612,0.0498075559735298,-2.65429162979126,0.5352645516395569,0.1408011019229889,0.1076698303222656,0.2687114179134369,False,True,True,4160,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
ADAR,ADAR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/ADAR.stl,2624,2624,0,-0.1355817914009094,-2.75467300415039,0.1462586820125579,-0.0238047912716865,-2.388801336288452,0.5339179635047913,0.1117770001292228,0.3658716678619385,0.3876592814922333,True,True,True,2624,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
MI,MI,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/MI.stl,2496,2496,0,-0.0703008696436882,-2.9623732566833496,0.4597519040107727,0.027529178187251,-2.887035608291626,0.582170844078064,0.0978300496935844,0.0753376483917236,0.1224189400672912,True,True,True,2496,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
