object_name,compartment,samples,frac_inside_body,outside_samples,watertight,faces,stl_path
Gonadal_Sheath_P2R,reproductive_rectal_system,2912,1.0,0,True,2912,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P2R.stl
Gonadal_Sheath_P1R,reproductive_rectal_system,5000,1.0,0,True,6496,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P1R.stl
Gonadal_Sheath_A4V,reproductive_rectal_system,1504,1.0,0,True,1504,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A4V.stl
Gonadal_Sheath_A3R,reproductive_rectal_system,1760,1.0,0,True,1760,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A3R.stl
Gonadal_Sheath_A2R,reproductive_rectal_system,2208,1.0,0,True,2208,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A2R.stl
Gonadal_Sheath_A1R,reproductive_rectal_system,5000,1.0,0,True,6256,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_A1R.stl
vm1L_Ant,reproductive_rectal_system,576,1.0,0,True,576,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm1L_Ant.stl
vm2R_Ant,reproductive_rectal_system,576,1.0,0,True,576,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm2R_Ant.stl
vm2L_Post,reproductive_rectal_system,576,1.0,0,True,576,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm2L_Post.stl
um1L_Post,reproductive_rectal_system,1344,1.0,0,True,1344,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/um1L_Post.stl
um1L_Ant,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/um1L_Ant.stl
um1R_Post,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/um1R_Post.stl
um2L_Post,reproductive_rectal_system,3776,1.0,0,True,3776,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/um2L_Post.stl
um2L_Ant,reproductive_rectal_system,3776,1.0,0,True,3776,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/um2L_Ant.stl
ut2_Ant,reproductive_rectal_system,2048,1.0,0,True,2048,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/ut2_Ant.stl
um2R_Ant,reproductive_rectal_system,3776,1.0,0,True,3776,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/um2R_Ant.stl
um1R_Ant,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/um1R_Ant.stl
um2R_Post,reproductive_rectal_system,3776,1.0,0,True,3776,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/um2R_Post.stl
vulA,reproductive_rectal_system,1280,1.0,0,True,1280,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vulA.stl
vulB1,reproductive_rectal_system,1280,1.0,0,True,1280,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vulB1.stl
vulB2,reproductive_rectal_system,1280,1.0,0,True,1280,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vulB2.stl
vulC,reproductive_rectal_system,1280,1.0,0,True,1280,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vulC.stl
vm1R_Ant,reproductive_rectal_system,704,1.0,0,True,704,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm1R_Ant.stl
vm1R_Post,reproductive_rectal_system,704,1.0,0,True,704,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm1R_Post.stl
vm1L_Post,reproductive_rectal_system,704,1.0,0,True,704,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm1L_Post.stl
vulD,reproductive_rectal_system,1280,1.0,0,True,1280,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vulD.stl
vulE,reproductive_rectal_system,2560,1.0,0,True,2560,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vulE.stl
vulF,reproductive_rectal_system,1280,1.0,0,True,1280,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vulF.stl
vm2R_Post,reproductive_rectal_system,576,1.0,0,True,576,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm2R_Post.stl
vm2L_Ant,reproductive_rectal_system,576,1.0,0,True,576,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/vm2L_Ant.stl
uv2_Post,reproductive_rectal_system,2112,1.0,0,True,2112,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/uv2_Post.stl
uv1_Post,reproductive_rectal_system,2112,1.0,0,True,2112,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/uv1_Post.stl
uv3_Post,reproductive_rectal_system,896,1.0,0,True,896,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/uv3_Post.stl
uv3_Ant,reproductive_rectal_system,896,1.0,0,True,896,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/uv3_Ant.stl
uv2_Ant,reproductive_rectal_system,2112,1.0,0,True,2112,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/uv2_Ant.stl
uv1_Ant,reproductive_rectal_system,2112,1.0,0,True,2112,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/uv1_Ant.stl
ut3_Post,reproductive_rectal_system,1536,1.0,0,True,1536,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/ut3_Post.stl
